City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-10-06 06:56:07,19.7297,-155.09,79.29,93,100,6.91
1,Mahebourg,MU,2022-10-06 06:55:09,-20.4081,57.7,77.29,65,40,13.8
2,Bathsheba,BB,2022-10-06 06:56:11,13.2167,-59.5167,83.01,78,40,18.41
3,Verkhnevilyuysk,RU,2022-10-06 06:56:12,63.4453,120.3167,29.84,74,100,9.33
4,Olafsvik,IS,2022-10-06 06:56:12,64.8945,-23.7142,42.87,71,100,9.75
5,Panchgani,IN,2022-10-06 06:56:13,17.9167,73.8167,66.42,79,100,4.16
6,Nemuro,JP,2022-10-06 06:56:13,43.3236,145.575,53.06,51,100,9.78
7,Ouadda,CF,2022-10-06 06:56:14,8.0777,22.4007,70.43,92,100,2.84
8,Ushuaia,AR,2022-10-06 06:51:34,-54.8,-68.3,38.86,81,20,13.8
9,Saint George,US,2022-10-06 06:56:14,37.1041,-113.5841,72.79,31,0,1.99
10,Albany,US,2022-10-06 06:55:46,42.6001,-73.9662,46.78,93,2,4.14
11,Vaini,TO,2022-10-06 06:56:15,-21.2,-175.2,77.16,100,75,3.44
12,Hamilton,US,2022-10-06 06:56:16,39.1834,-84.5333,54.39,81,50,1.01
13,Cape Town,ZA,2022-10-06 06:56:16,-33.9258,18.4232,63.37,71,75,8.05
14,Qaanaaq,GL,2022-10-06 06:56:17,77.484,-69.3632,5.59,73,63,8.25
15,Ca Mau,VN,2022-10-06 06:56:17,9.1769,105.15,78.49,89,100,4.0
16,Hay River,CA,2022-10-06 06:56:17,60.8156,-115.7999,44.58,57,40,12.66
17,Jamestown,US,2022-10-06 06:55:47,42.097,-79.2353,52.72,77,0,3.44
18,Georgetown,MY,2022-10-06 06:56:18,5.4112,100.3354,87.73,74,20,8.05
19,Hearst,CA,2022-10-06 06:56:19,49.6835,-83.6665,43.05,96,100,8.55
20,Khatanga,RU,2022-10-06 06:56:19,71.9667,102.5,16.97,96,100,7.4
21,Yellowknife,CA,2022-10-06 06:56:17,62.456,-114.3525,43.32,87,20,16.11
22,Constitucion,CL,2022-10-06 06:55:57,-35.3333,-72.4167,50.76,78,100,3.15
23,Bozeman,US,2022-10-06 06:53:14,45.6796,-111.0386,49.73,66,0,5.75
